# Modern-Era Retrospective Analysis for Research and Applications (MERRA), version 2
# Provider;National Aeronautics and Space Administration (NASA) / Goddard Space Flight Center
# More information at;http://gmao.gsfc.nasa.gov/reanalysis/MERRA-2
# Site latitude (positive means North);5.999
# Site longitude (positive means East);-74.376
# Site altitude (m);532
# Date beginning;2021-08-01
# Date end;2021-08-30
# Time reference (hour);UT
# Summarization (period of integration);Hour (h)
# Date - Instant;The date or instant given for each value corresponds to the end of the summarization

# Columns:
# Temperature (K);Temperature at 2 m above ground
# Relative humidity (%);Relative humidity at 2 m above ground
# Pressure (hPa);Pressure at ground level
# Wind speed (m/s);Wind speed at 10 m above ground
# Wind direction (deg);Wind direction at 10 m above ground (0 means from North, 90 from East...)
# Rainfall (kg/m2);Rainfall (= rain depth in mm)
# Snowfall (kg/m2);Snowfall
# Snow depth (m);Snow depth
# Short-wave irradiation (Wh/m2);Surface incoming shortwave irradiation (broadband)

# MERRA-2 meteorological data
# Date;UT time;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth;Short-wave irradiation
2021-08-01;01:00;305.47;38.41;947.94;1.02;240.35;0.000062;0.000000;0.000000;0.0000
2021-08-01;02:00;304.64;39.35;948.75;0.84;223.44;0.000150;0.000000;0.000000;0.0000
2021-08-01;03:00;304.01;41.47;949.42;0.52;207.74;0.001032;0.000000;0.000000;0.0000
2021-08-01;04:00;303.22;44.06;950.10;0.14;200.15;0.003861;0.000000;0.000000;0.0000
2021-08-01;05:00;302.72;45.77;950.61;0.16;318.36;0.008465;0.000000;0.000000;0.0000
2021-08-01;06:00;302.17;49.99;950.71;0.19;343.71;0.010694;0.000000;0.000000;0.0000
2021-08-01;07:00;301.73;53.08;950.64;0.14;271.50;0.012842;0.000000;0.000000;0.0000
2021-08-01;08:00;301.28;54.06;950.64;0.16;224.51;0.014072;0.000000;0.000000;0.0000
2021-08-01;09:00;300.75;56.32;950.95;0.09;190.18;0.006176;0.000000;0.000000;0.0000
2021-08-01;10:00;300.42;59.07;951.55;0.14;197.68;0.002458;0.000000;0.000000;0.0000
2021-08-01;11:00;300.01;59.06;952.10;0.25;215.46;0.001324;0.000000;0.000000;1.0349
2021-08-01;12:00;300.25;55.64;952.47;0.34;191.66;0.003383;0.000000;0.000000;100.1362
2021-08-01;13:00;302.57;45.39;952.67;0.46;175.60;0.002612;0.000000;0.000000;330.1322
2021-08-01;14:00;305.38;35.55;952.19;0.15;195.33;0.000565;0.000000;0.000000;566.0457
2021-08-01;15:00;307.77;29.56;951.26;0.38;322.09;0.000150;0.000000;0.000000;775.2800
2021-08-01;16:00;309.71;25.71;950.36;0.81;320.91;0.000164;0.000000;0.000000;914.5266
2021-08-01;17:00;311.26;23.10;949.13;1.05;319.86;0.001613;0.000000;0.000000;978.2308
2021-08-01;18:00;312.10;21.75;947.82;1.18;319.40;0.003764;0.000000;0.000000;887.2076
2021-08-01;19:00;312.36;21.34;946.80;1.12;320.76;0.014891;0.000000;0.000000;735.0816
2021-08-01;20:00;312.12;21.68;946.22;0.83;321.51;0.047480;0.000000;0.000000;535.8949
2021-08-01;21:00;311.46;22.75;946.24;0.34;316.54;0.086297;0.000000;0.000000;343.0507
2021-08-01;22:00;310.33;24.80;946.63;0.31;170.34;0.178190;0.000000;0.000000;170.7377
2021-08-01;23:00;308.71;28.42;947.76;0.77;175.05;0.346571;0.000000;0.000000;33.2703
2021-08-01;24:00;306.94;33.71;949.16;0.88;197.13;0.488596;0.000000;0.000000;0.0965
2021-08-02;01:00;305.46;38.24;950.26;0.69;234.55;0.805953;0.000000;0.000000;0.0000
2021-08-02;02:00;304.06;43.42;951.25;0.60;296.89;0.994814;0.000000;0.000000;0.0000
2021-08-02;03:00;302.80;48.23;951.83;0.89;341.32;0.704790;0.000000;0.000000;0.0000
2021-08-02;04:00;301.77;52.51;952.10;1.13;351.98;0.684689;0.000000;0.000000;0.0000
2021-08-02;05:00;300.87;56.76;952.45;1.14;349.47;0.826790;0.000000;0.000000;0.0000
2021-08-02;06:00;300.15;60.32;952.54;1.01;330.44;0.747485;0.000000;0.000000;0.0000
2021-08-02;07:00;299.63;62.51;952.27;0.83;309.93;0.302834;0.000000;0.000000;0.0000
2021-08-02;08:00;299.30;63.30;951.85;0.66;284.59;0.435004;0.000000;0.000000;0.0000
2021-08-02;09:00;299.08;63.22;951.61;0.58;253.47;0.570712;0.000000;0.000000;0.0000
2021-08-02;10:00;298.96;62.70;951.62;0.44;240.36;0.607510;0.000000;0.000000;0.0000
2021-08-02;11:00;298.74;62.98;952.06;0.40;277.18;0.987411;0.000000;0.000000;0.5680
2021-08-02;12:00;298.73;62.11;952.86;0.66;300.95;0.993714;0.000000;0.000000;52.7041
2021-08-02;13:00;299.83;55.33;953.82;0.82;274.27;0.364291;0.000000;0.000000;187.8796
2021-08-02;14:00;301.68;46.72;953.92;0.87;269.99;0.012061;0.000000;0.000000;345.4875
2021-08-02;15:00;304.14;38.47;953.21;0.93;275.12;0.010359;0.000000;0.000000;598.6625
2021-08-02;16:00;306.44;32.41;952.25;1.01;283.53;0.011004;0.000000;0.000000;757.4621
2021-08-02;17:00;308.11;28.77;951.17;1.00;293.87;0.024252;0.000000;0.000000;814.0534
2021-08-02;18:00;309.04;26.85;949.94;0.83;302.08;0.025792;0.000000;0.000000;738.3202
2021-08-02;19:00;309.37;26.10;948.92;0.66;306.50;0.033732;0.000000;0.000000;604.5039
2021-08-02;20:00;309.24;26.18;948.14;0.48;307.74;0.031311;0.000000;0.000000;459.7360
2021-08-02;21:00;308.78;26.81;947.78;0.33;300.65;0.025322;0.000000;0.000000;304.5397
2021-08-02;22:00;308.11;27.82;947.81;0.28;268.90;0.013935;0.000000;0.000000;169.6474
2021-08-02;23:00;307.08;31.02;948.36;0.35;245.63;0.006826;0.000000;0.000000;49.6832
2021-08-02;24:00;305.55;37.02;949.19;0.46;238.02;0.004493;0.000000;0.000000;0.1616
2021-08-03;01:00;304.40;39.08;950.21;0.59;258.27;0.010077;0.000000;0.000000;0.0000
2021-08-03;02:00;303.38;41.74;951.12;0.49;274.65;0.045058;0.000000;0.000000;0.0000
2021-08-03;03:00;302.40;44.70;952.00;0.28;304.38;0.151042;0.000000;0.000000;0.0000
2021-08-03;04:00;301.85;48.15;952.67;0.33;344.85;0.282933;0.000000;0.000000;0.0000
2021-08-03;05:00;301.37;50.03;952.95;0.48;337.94;0.351055;0.000000;0.000000;0.0000
2021-08-03;06:00;300.81;51.75;952.65;0.37;311.92;0.291781;0.000000;0.000000;0.0000
2021-08-03;07:00;300.23;53.15;952.16;0.32;267.25;0.120487;0.000000;0.000000;0.0000
2021-08-03;08:00;299.64;55.08;951.82;0.41;253.27;0.006129;0.000000;0.000000;0.0000
2021-08-03;09:00;299.11;56.61;951.64;0.49;239.64;0.000054;0.000000;0.000000;0.0000
2021-08-03;10:00;298.55;57.93;951.85;0.53;228.66;0.000037;0.000000;0.000000;0.0000
2021-08-03;11:00;298.17;57.08;952.09;0.77;226.80;0.000036;0.000000;0.000000;1.0025
2021-08-03;12:00;298.48;54.55;952.69;0.83;226.77;0.000035;0.000000;0.000000;83.6603
2021-08-03;13:00;300.39;45.95;953.61;1.13;209.22;0.000025;0.000000;0.000000;281.1354
2021-08-03;14:00;302.91;36.99;953.99;1.30;203.04;0.000013;0.000000;0.000000;501.3875
2021-08-03;15:00;305.30;30.62;953.56;1.15;210.33;0.000009;0.000000;0.000000;698.7306
2021-08-03;16:00;307.31;26.30;952.68;1.03;228.21;0.000039;0.000000;0.000000;835.2204
2021-08-03;17:00;308.77;23.58;951.44;1.00;245.84;0.000161;0.000000;0.000000;870.2765
2021-08-03;18:00;309.89;21.79;950.03;0.94;258.87;0.000100;0.000000;0.000000;859.4680
2021-08-03;19:00;310.46;20.90;948.66;0.81;270.61;0.000218;0.000000;0.000000;732.9670
2021-08-03;20:00;310.38;20.92;947.56;0.68;285.90;0.000293;0.000000;0.000000;537.7543
2021-08-03;21:00;309.93;21.55;947.08;0.56;302.01;0.001177;0.000000;0.000000;368.0927
2021-08-03;22:00;309.08;22.89;947.17;0.43;318.43;0.006137;0.000000;0.000000;184.9124
2021-08-03;23:00;307.67;28.40;947.90;0.26;323.49;0.022082;0.000000;0.000000;41.0887
2021-08-03;24:00;305.81;34.16;949.09;0.22;214.75;0.041325;0.000000;0.000000;0.0926
2021-08-04;01:00;304.62;36.11;950.31;0.44;215.15;0.045101;0.000000;0.000000;0.0000
2021-08-04;02:00;303.65;39.76;951.43;0.52;247.39;0.051906;0.000000;0.000000;0.0000
2021-08-04;03:00;302.76;43.20;952.39;0.68;281.19;0.076128;0.000000;0.000000;0.0000
2021-08-04;04:00;301.94;45.82;953.05;0.52;293.43;0.106918;0.000000;0.000000;0.0000
2021-08-04;05:00;301.36;47.90;953.11;0.38;297.99;0.138502;0.000000;0.000000;0.0000
2021-08-04;06:00;300.83;50.29;952.85;0.23;284.43;0.171191;0.000000;0.000000;0.0000
2021-08-04;07:00;300.31;52.70;952.60;0.20;213.71;0.214155;0.000000;0.000000;0.0000
2021-08-04;08:00;299.84;54.69;952.60;0.25;200.46;0.245659;0.000000;0.000000;0.0000
2021-08-04;09:00;299.40;56.22;952.91;0.29;207.74;0.211149;0.000000;0.000000;0.0000
2021-08-04;10:00;298.92;57.80;953.33;0.30;225.80;0.117357;0.000000;0.000000;0.0000
2021-08-04;11:00;298.52;58.97;953.75;0.27;238.46;0.034288;0.000000;0.000000;0.5844
2021-08-04;12:00;298.72;57.61;954.15;0.26;237.73;0.015371;0.000000;0.000000;66.0899
2021-08-04;13:00;300.59;47.75;954.68;0.53;240.29;0.020618;0.000000;0.000000;275.6406
2021-08-04;14:00;303.08;38.59;954.82;0.76;259.90;0.021222;0.000000;0.000000;510.8927
2021-08-04;15:00;305.16;33.44;954.39;1.03;278.60;0.017067;0.000000;0.000000;712.2433
2021-08-04;16:00;306.84;29.76;953.46;1.22;286.43;0.021837;0.000000;0.000000;836.4871
2021-08-04;17:00;308.22;26.92;952.26;1.26;290.44;0.021539;0.000000;0.000000;892.7373
2021-08-04;18:00;309.21;24.96;950.80;1.22;295.21;0.019730;0.000000;0.000000;870.4996
